
BSSID, First time seen, Last time seen, Channel, Speed, Privacy, Power, # beacons, # data, LAN IP, ESSID
00:40:96:46:4C:09, 2006-10-16 12:35:46, 2006-10-16 13:01:05,  1,  11, OPN ,  64,     3210,    34599, 130. 85.149.149, tsunami                         
00:40:96:46:55:07, 2006-10-16 12:35:46, 2006-10-16 13:01:05,  1,  11, OPN ,  20,     1499,      220, 130. 85.169.169, tsunami                         
00:40:96:45:FC:B0, 2006-10-16 12:35:46, 2006-10-16 13:01:05,  1,  11, OPN ,  20,     1703,     1033, 130. 85. 38. 38, tsunami                         
00:40:96:46:54:72, 2006-10-16 12:35:46, 2006-10-16 13:01:03,  1,  11, OPN ,  24,      682,        0,   0.  0.  0.  0, tsunami                         
00:40:96:46:20:51, 2006-10-16 12:35:46, 2006-10-16 13:01:05,  1,  11, OPN ,   1,      454,      415, 130. 85. 38. 38, tsunami                         
00:40:96:46:26:F1, 2006-10-16 12:35:46, 2006-10-16 13:01:05,  3,  11, WPA ,   1,     2776,     8056, 130. 85. 38. 38, tsunami                         
00:40:96:46:86:32, 2006-10-16 12:35:46, 2006-10-16 13:01:03,  1,  11, OPN ,  35,      716,      429, 130. 85. 38. 38, tsunami                         
00:40:96:46:66:AA, 2006-10-16 12:35:46, 2006-10-16 13:01:05,  6,  11, WEP ,  18,     2610,     1096, 130. 85. 38. 38, tsunami                         
00:40:96:46:58:9F, 2006-10-16 12:35:46, 2006-10-16 13:01:05,  6,  11, OPN ,  24,     3636,      250, 130. 85.168.168, tsunami                         
00:40:96:46:0F:96, 2006-10-16 12:35:46, 2006-10-16 13:01:05,  6,  11, OPN ,  10,      840,       27, 130. 85.149.149, tsunami                         
00:40:96:46:11:E0, 2006-10-16 12:35:46, 2006-10-16 13:01:04,  6,  11, OPN ,  35,      452,      140, 130. 85. 38. 38, tsunami                         
00:40:96:46:3B:32, 2006-10-16 12:35:47, 2006-10-16 13:01:05, 11,  11, WPA ,  59,     4047,     7886, 130. 85.168.168, tsunami                         
00:40:96:46:48:3D, 2006-10-16 12:35:47, 2006-10-16 13:01:05, 11,  11, OPN ,  86,     3882,     4085, 130. 85.168.168, tsunami                         
00:40:96:46:48:35, 2006-10-16 12:35:47, 2006-10-16 13:01:04,  6,  11, OPN ,  28,     1393,        0,   0.  0.  0.  0, tsunami                         
C6:92:7C:C5:F2:41, 2006-10-16 12:35:48, 2006-10-16 12:41:39, 11,  11, OPN ,  50,      481,        0,   0.  0.  0.  0, speedzone                       
00:40:96:46:54:CB, 2006-10-16 12:35:48, 2006-10-16 13:01:05, 11,  11, OPN ,  50,     1285,      926, 130. 85.168.168, tsunami                         
00:40:96:41:9C:23, 2006-10-16 12:35:48, 2006-10-16 13:01:05, 11,  11, OPN ,   5,      709,     4192, 130. 85.169.169, tsunami                         
00:40:96:46:5F:D5, 2006-10-16 12:35:48, 2006-10-16 13:01:05, 11,  11, OPN ,  35,     2623,      328, 130. 85.169.169, tsunami                         
00:40:96:47:80:99, 2006-10-16 12:35:48, 2006-10-16 13:01:05, 11,  11, OPN ,  20,      819,     1388, 169.254. 23. 23, tsunami                         
00:40:96:40:C2:E8, 2006-10-16 12:35:51, 2006-10-16 13:01:05, 11,  11, OPN ,  10,     1125,      249, 130. 85. 38. 38, tsunami                         
00:40:96:46:35:D5, 2006-10-16 12:35:51, 2006-10-16 13:01:05, 11,  11, OPN ,  45,     2377,      899, 130. 85.168.168, tsunami                         
00:40:96:46:35:13, 2006-10-16 12:35:51, 2006-10-16 13:01:02,  6,  11, OPN ,  24,      220,      620, 130. 85.149.149, tsunami                         
00:40:96:40:C2:F0, 2006-10-16 12:35:51, 2006-10-16 13:01:05,  6,  11, OPN ,  12,     1056,      226, 130. 85. 38. 38, tsunami                         
00:40:96:46:80:40, 2006-10-16 12:35:51, 2006-10-16 13:01:04,  6,  11, OPN ,  20,      506,     1229, 130. 85. 38. 38, tsunami                         
00:0F:34:AB:15:B0, 2006-10-16 12:35:51, 2006-10-16 12:56:22,  6,  54, OPN ,   1,       56,       12, 130. 85.149.149, tsunami                         
00:40:96:45:DE:EC, 2006-10-16 12:35:58, 2006-10-16 13:01:03,  1,  11, OPN ,  10,      292,      279, 130. 85. 38. 38, tsunami                         
00:40:96:45:FB:AA, 2006-10-16 12:35:59, 2006-10-16 13:00:39,  6,  11, OPN ,  16,      132,        0,   0.  0.  0.  0, tsunami                         
00:0F:34:AE:FC:40, 2006-10-16 12:37:34, 2006-10-16 13:01:01,  1,  54, OPN ,   1,       38,        2, 130. 85.149.149, tsunami                         
00:09:5B:FF:98:A0, 2006-10-16 12:38:08, 2006-10-16 13:00:32, 11,  11, WEP?,  10,      121,        0,   0.  0.  0.  0, Cell Milieu                     
00:07:85:92:2B:8C, 2006-10-16 12:42:33, 2006-10-16 12:42:33,  2,  -1,     ,  30,        0,        0,   0.  0.  0.  0,                                 
00:0F:8F:3D:DB:A0, 2006-10-16 12:48:46, 2006-10-16 12:48:46,  9,  -1,     ,  35,        0,        0,   0.  0.  0.  0,                                 
00:0F:34:AE:FC:50, 2006-10-16 12:48:47, 2006-10-16 12:48:47,  2,  -1,     ,   1,        0,        0,   0.  0.  0.  0,                                 
00:0F:34:AB:14:10, 2006-10-16 12:48:48, 2006-10-16 12:48:48, 11,  -1,     ,   1,        0,        0,   0.  0.  0.  0,                                 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, ESSID
00:13:02:80:15:07, 2006-10-16 12:35:46, 2006-10-16 13:01:05,  40,    26002, 00:40:96:46:4C:09, tsunami                         
00:12:F0:12:1C:7D, 2006-10-16 12:35:46, 2006-10-16 13:00:57,  33,     1525, 00:40:96:46:4C:09, tsunami                         
00:13:CE:64:0D:3F, 2006-10-16 12:35:46, 2006-10-16 12:40:47,  50,      357, 00:40:96:46:20:51, tsunami                         
00:12:F0:12:2C:4E, 2006-10-16 12:35:46, 2006-10-16 13:01:01,  95,     1174, 00:40:96:46:4C:09, tsunami                         
00:16:6F:29:0F:E2, 2006-10-16 12:35:46, 2006-10-16 12:38:12,   1,      286, 00:40:96:46:4C:09, tsunami                         
00:13:CE:B7:9D:A8, 2006-10-16 12:35:46, 2006-10-16 13:01:05,  43,      941, 00:40:96:45:FC:B0, tsunami                         
00:16:6F:46:D5:F7, 2006-10-16 12:35:48, 2006-10-16 12:43:49,  59,      613, 00:40:96:46:3B:32, tsunami                         
00:12:F0:0C:70:67, 2006-10-16 12:35:48, 2006-10-16 13:01:04,  61,     2476, 00:40:96:46:3B:32, tsunami                         
00:14:A5:11:51:59, 2006-10-16 12:35:48, 2006-10-16 12:57:02,  67,     1568, 00:40:96:46:3B:32, tsunami                         
00:90:4B:E6:FB:25, 2006-10-16 12:35:48, 2006-10-16 13:01:04,  43,     1341, 00:40:96:41:9C:23, tsunami                         
00:16:CE:22:70:D2, 2006-10-16 12:35:48, 2006-10-16 13:00:55,  24,      702, 00:40:96:46:26:F1, tsunami                         
00:15:00:07:2E:50, 2006-10-16 12:35:48, 2006-10-16 13:00:07,  33,     1607, 00:40:96:46:26:F1, tsunami                         
00:13:02:72:DA:A3, 2006-10-16 12:35:49, 2006-10-16 12:36:49,  40,      161, 00:40:96:46:54:CB, tsunami                         
00:17:F2:42:AA:47, 2006-10-16 12:35:50, 2006-10-16 13:01:05,  35,     3297, 00:40:96:46:4C:09, tsunami                         
00:17:F2:43:61:0E, 2006-10-16 12:35:50, 2006-10-16 13:01:05,  50,     3670, 00:40:96:46:4C:09, tsunami                         
00:13:02:9D:5B:99, 2006-10-16 12:35:50, 2006-10-16 12:35:50,   1,        1, 00:40:96:46:20:51, tsunami                         
00:12:F0:87:1F:73, 2006-10-16 12:35:50, 2006-10-16 12:42:32,  38,       58, 00:40:96:46:86:32, tsunami                         
00:12:F0:01:C4:4C, 2006-10-16 12:35:50, 2006-10-16 13:01:02,   5,      532, 00:40:96:46:4C:09, tsunami                         
00:14:A4:34:C6:0D, 2006-10-16 12:35:50, 2006-10-16 13:01:01,  22,       24, 00:40:96:46:20:51, tsunami                         
00:13:02:A8:C7:B4, 2006-10-16 12:35:51, 2006-10-16 12:43:02,  38,      893, 00:40:96:46:48:3D, tsunami                         
00:0E:35:A1:89:63, 2006-10-16 12:35:51, 2006-10-16 12:45:14,  20,       43, 00:40:96:46:35:13, tsunami                         
00:14:A5:23:9F:79, 2006-10-16 12:35:52, 2006-10-16 12:54:15,  20,      110, 00:40:96:41:9C:23, tsunami                         
00:13:02:5D:B6:5C, 2006-10-16 12:35:52, 2006-10-16 12:43:54,  40,      384, 00:40:96:41:9C:23, tsunami                         
00:13:CE:2E:41:FD, 2006-10-16 12:35:52, 2006-10-16 13:01:05,  22,      740, 00:40:96:41:9C:23, tsunami                         
00:0E:35:39:1B:12, 2006-10-16 12:35:52, 2006-10-16 12:44:59,  28,       11, 00:40:96:46:26:F1, tsunami                         
00:13:CE:7D:96:A2, 2006-10-16 12:35:53, 2006-10-16 13:01:05,  22,     2845, 00:40:96:41:9C:23, tsunami                         
00:90:96:FC:69:7E, 2006-10-16 12:35:54, 2006-10-16 12:48:44,   5,      338, 00:40:96:46:35:D5, tsunami                         
00:16:CE:0D:93:C1, 2006-10-16 12:35:54, 2006-10-16 12:41:24,  30,       38, 00:40:96:46:4C:09, tsunami                         
00:0E:9B:D6:E5:77, 2006-10-16 12:35:56, 2006-10-16 12:43:46,  35,      171, 00:40:96:46:26:F1, tsunami                         
00:13:02:B1:E2:A0, 2006-10-16 12:35:58, 2006-10-16 12:46:29,  33,      414, 00:40:96:46:4C:09, tsunami                         
00:13:CE:1F:F2:4F, 2006-10-16 12:35:58, 2006-10-16 13:00:41,  64,      134, 00:40:96:46:4C:09, tsunami                         
00:12:F0:7B:31:24, 2006-10-16 12:35:58, 2006-10-16 12:49:33,  43,      137, 00:40:96:45:FC:B0, tsunami                         
00:13:02:C1:79:5C, 2006-10-16 12:36:00, 2006-10-16 12:38:02,  28,        9, 00:40:96:46:3B:32, tsunami                         
00:14:A5:5C:BB:5F, 2006-10-16 12:36:01, 2006-10-16 12:56:27,  38,      401, 00:40:96:46:3B:32, tsunami                         
00:11:24:96:62:A6, 2006-10-16 12:36:07, 2006-10-16 12:48:44,  10,       10, 00:40:96:46:35:13, tsunami                         
00:11:24:A2:45:10, 2006-10-16 12:36:08, 2006-10-16 12:54:48,  38,      696, 00:40:96:46:3B:32, tsunami                         
00:17:F2:4A:51:8F, 2006-10-16 12:36:08, 2006-10-16 12:55:28,  10,     1398, 00:40:96:46:26:F1, tsunami                         
00:13:CE:21:D4:EA, 2006-10-16 12:36:08, 2006-10-16 12:59:03,  56,      289, 00:40:96:46:26:F1, tsunami                         
00:13:02:D4:F4:60, 2006-10-16 12:36:09, 2006-10-16 12:38:28,   1,       23, 00:40:96:46:54:CB, tsunami                         
