
BSSID, First time seen, Last time seen, Channel, Speed, Privacy, Power, # beacons, # data, LAN IP, ESSID
00:40:96:46:4C:09, 2006-10-17 11:39:06, 2006-10-17 12:47:49,  1,  11, OPN ,  77,     7525,    18154, 130. 85.169.169, tsunami                         
00:40:96:45:FC:B0, 2006-10-17 11:39:06, 2006-10-17 12:47:49,  1,  11, OPN ,  64,     6631,    10900, 130. 85.149.149, tsunami                         
00:40:96:46:54:72, 2006-10-17 11:39:06, 2006-10-17 12:47:42,  1,  11, OPN ,  14,     1573,      129, 130. 85. 38. 38, tsunami                         
00:40:96:46:55:07, 2006-10-17 11:39:06, 2006-10-17 12:47:49,  1,  11, OPN ,  26,     1435,     1253, 130. 85.149.149, tsunami                         
00:40:96:46:26:F1, 2006-10-17 11:39:06, 2006-10-17 12:47:49,  3,  11, OPN ,  64,     9923,    28056, 130. 85.149.149, tsunami                         
00:40:96:46:58:9F, 2006-10-17 11:39:06, 2006-10-17 12:47:49,  6,  11, OPN ,  64,     9573,     4754, 130. 85. 38. 38, tsunami                         
00:40:96:46:80:40, 2006-10-17 11:39:06, 2006-10-17 12:47:49,  6,  11, OPN ,  38,     4952,     4297,   0.  0.  0.  0, tsunami                         
00:40:96:46:35:D5, 2006-10-17 11:39:06, 2006-10-17 12:47:49, 11,  11, WEP ,  74,     6363,     4674, 169.254.235.235, tsunami                         
00:40:96:47:80:99, 2006-10-17 11:39:06, 2006-10-17 12:47:49, 11,  11, OPN ,  56,     6681,    15936, 169.254.235.235, tsunami                         
00:40:96:46:48:3D, 2006-10-17 11:39:06, 2006-10-17 12:47:49, 11,  11, OPN ,  83,    15002,    14955, 169.254.235.235, tsunami                         
00:40:96:46:3B:32, 2006-10-17 11:39:07, 2006-10-17 12:47:49, 11,  11, WEP ,  40,     4319,    32446, 130. 85.149.149, tsunami                         
00:40:96:45:DE:EC, 2006-10-17 11:39:10, 2006-10-17 12:46:04,  1,  11, OPN ,   1,       66,        0,   0.  0.  0.  0, tsunami                         
00:40:96:46:35:13, 2006-10-17 11:39:10, 2006-10-17 12:47:49,  6,  11, OPN ,  24,     1074,     3324, 130. 85.168.168, tsunami                         
00:40:96:46:66:AA, 2006-10-17 11:39:10, 2006-10-17 12:47:43,  6,  11, OPN ,  28,     2034,     2006,   0.  0.  0.  0, tsunami                         
00:40:96:46:0F:96, 2006-10-17 11:39:10, 2006-10-17 12:47:30,  6,  11, OPN ,   1,      980,        1,   0.  0.  0.  0, tsunami                         
00:40:96:46:86:32, 2006-10-17 11:39:11, 2006-10-17 12:47:49,  1,  11, OPN ,   1,     1210,     1795, 130. 85. 38. 38, tsunami                         
00:40:96:46:48:35, 2006-10-17 11:39:11, 2006-10-17 12:47:42,  6,  11, OPN ,   5,      296,       63, 192.168.  1.  1, tsunami                         
00:40:96:46:5F:D5, 2006-10-17 11:39:11, 2006-10-17 12:47:44, 11,  11, OPN ,   5,     1317,    13274, 130. 85.168.168, tsunami                         
00:40:96:41:9C:23, 2006-10-17 11:39:11, 2006-10-17 12:47:49, 11,  11, OPN ,  33,     3904,    10938, 130. 85.169.169, tsunami                         
00:40:96:40:C2:E8, 2006-10-17 11:39:11, 2006-10-17 12:47:44, 11,  11, OPN ,   5,     1430,       50, 130. 85.169.169, tsunami                         
00:09:5B:FF:98:A0, 2006-10-17 11:39:12, 2006-10-17 12:47:19, 11,  11, WEP?,   1,      101,        0,   0.  0.  0.  0, Cell Milieu                     
00:40:96:46:54:CB, 2006-10-17 11:39:12, 2006-10-17 12:47:49, 11,  11, OPN ,  16,     1749,     1795, 130. 85.168.168, tsunami                         
00:40:96:46:11:E0, 2006-10-17 11:39:14, 2006-10-17 12:47:44,  6,  11, OPN ,  26,     1599,       61, 130. 85.149.149, tsunami                         
00:40:96:40:C2:F0, 2006-10-17 11:39:19, 2006-10-17 12:47:42,  6,  11, OPN ,   1,      436,      273,   0.  0.  0.  0, tsunami                         
00:40:96:46:20:51, 2006-10-17 11:39:42, 2006-10-17 12:47:49,  1,  11, OPN ,   1,      337,       81, 130. 85.169.169, tsunami                         
00:07:85:92:2B:8C, 2006-10-17 11:43:23, 2006-10-17 12:43:05,  5,  -1,     ,  38,        0,        0,   0.  0.  0.  0,                                 
00:0F:66:72:10:2E, 2006-10-17 11:55:55, 2006-10-17 12:25:55, 11,  -1, OPN ,  56,        0,      134, 130. 85.168.168,                                 
02:12:F0:00:03:2B, 2006-10-17 12:03:18, 2006-10-17 12:04:26, 11,  54, OPN ,  43,      111,        0,   0.  0.  0.  0, hpsetup                         
00:0F:34:AE:FC:40, 2006-10-17 12:30:08, 2006-10-17 12:30:17,  1,  -1, OPN ,  28,        0,       14, 130. 85.169.169,                                 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, ESSID
00:17:F2:43:61:0E, 2006-10-17 11:39:06, 2006-10-17 12:14:12,  43,     4115, 00:40:96:46:4C:09, tsunami                         
00:12:F0:12:2C:4E, 2006-10-17 11:39:06, 2006-10-17 12:47:49,  56,     2387, 00:40:96:46:4C:09, tsunami                         
00:12:F0:01:C0:4A, 2006-10-17 11:39:06, 2006-10-17 12:04:01,  16,      847, 00:40:96:46:4C:09, tsunami                         
00:0E:35:D8:4C:33, 2006-10-17 11:39:06, 2006-10-17 12:10:06,  24,     2168, 00:40:96:46:4C:09, tsunami                         
00:15:00:3F:AC:E7, 2006-10-17 11:39:07, 2006-10-17 12:47:49,  67,     4630, 00:40:96:46:58:9F, tsunami                         
00:13:02:9D:31:D0, 2006-10-17 11:39:07, 2006-10-17 12:45:47,   1,     8544, 00:40:96:46:3B:32, tsunami                         
00:80:C8:12:74:80, 2006-10-17 11:39:08, 2006-10-17 11:48:43,  48,       26, 00:40:96:46:26:F1, tsunami                         
00:13:02:7F:B5:39, 2006-10-17 11:39:09, 2006-10-17 12:47:48,   1,     9787, 00:40:96:46:3B:32, tsunami                         
00:0C:F1:14:41:93, 2006-10-17 11:39:10, 2006-10-17 12:32:32,  26,     1945, 00:40:96:46:26:F1, tsunami                         
00:12:F0:12:1C:7D, 2006-10-17 11:39:10, 2006-10-17 12:47:49,  53,     3407, 00:40:96:46:4C:09, tsunami                         
00:0B:7D:29:37:E6, 2006-10-17 11:39:10, 2006-10-17 12:29:44,  67,      258, 00:40:96:46:4C:09, tsunami                         
00:15:00:38:5F:8F, 2006-10-17 11:39:11, 2006-10-17 12:00:27,  24,      122, 00:40:96:46:35:13, tsunami                         
00:0E:9B:24:AD:BA, 2006-10-17 11:39:11, 2006-10-17 11:55:55,  18,       92, 00:40:96:46:35:13, tsunami                         
00:14:A5:48:B1:C0, 2006-10-17 11:39:11, 2006-10-17 12:09:36,  14,      293, 00:40:96:46:35:13, tsunami                         
00:14:A5:B0:10:E1, 2006-10-17 11:39:11, 2006-10-17 12:47:42,  10,     1355, 00:40:96:46:35:13, tsunami                         
00:11:24:C3:0A:5B, 2006-10-17 11:39:11, 2006-10-17 12:38:26,  24,       50, 00:40:96:46:35:13, tsunami                         
00:14:A5:A4:E9:74, 2006-10-17 11:39:11, 2006-10-17 12:47:44,  30,    12686, 00:40:96:46:5F:D5, tsunami                         
00:04:23:64:53:C8, 2006-10-17 11:39:12, 2006-10-17 12:47:19,  48,     1226, 00:40:96:46:80:40, tsunami                         
00:0D:88:58:13:AE, 2006-10-17 11:39:12, 2006-10-17 12:43:48,  28,     5845, 00:40:96:41:9C:23, tsunami                         
00:13:CE:2E:41:FD, 2006-10-17 11:39:12, 2006-10-17 12:47:44,  38,     2224, 00:40:96:41:9C:23, tsunami                         
00:12:F0:12:2E:EA, 2006-10-17 11:39:13, 2006-10-17 12:16:01,  26,      535, 00:40:96:46:5F:D5, tsunami                         
00:13:02:1A:51:B6, 2006-10-17 11:39:14, 2006-10-17 12:40:47,  38,      630, 00:40:96:46:26:F1, tsunami                         
00:16:6F:16:0E:72, 2006-10-17 11:39:19, 2006-10-17 12:37:44,  26,     1335, 00:40:96:46:66:AA, tsunami                         
00:14:A5:43:09:61, 2006-10-17 11:39:19, 2006-10-17 12:47:42,  12,      427, 00:40:96:46:35:13, tsunami                         
00:18:DE:06:A3:B1, 2006-10-17 11:39:19, 2006-10-17 12:47:42,   1,      603, 00:40:96:46:35:13, tsunami                         
00:13:02:C1:D6:42, 2006-10-17 11:39:24, 2006-10-17 12:33:53,  35,      914, 00:40:96:46:26:F1, tsunami                         
00:0E:35:27:A7:10, 2006-10-17 11:39:26, 2006-10-17 12:47:49,  14,      472, 00:40:96:46:86:32, tsunami                         
00:17:F2:45:6F:D6, 2006-10-17 11:39:42, 2006-10-17 12:31:29,  22,      856, 00:40:96:47:80:99, tsunami                         
00:16:6F:6F:53:0C, 2006-10-17 11:39:42, 2006-10-17 12:47:33,  28,      289, 00:40:96:46:86:32, tsunami                         
00:18:DE:22:18:BA, 2006-10-17 11:39:43, 2006-10-17 12:44:04,  30,      309, 00:40:96:46:80:40, tsunami                         
00:13:02:21:5F:4D, 2006-10-17 11:39:45, 2006-10-17 12:47:44,  28,     1833, 00:40:96:46:54:CB, tsunami                         
00:14:A5:4D:DA:13, 2006-10-17 11:39:52, 2006-10-17 12:47:41,  67,     2609, 00:40:96:46:35:13, tsunami                         
00:18:DE:14:8B:E5, 2006-10-17 11:39:54, 2006-10-17 11:55:05,   5,       95, 00:40:96:46:5F:D5, tsunami                         
00:13:CE:1F:F2:4F, 2006-10-17 11:40:14, 2006-10-17 12:47:11, 100,     9119, 00:40:96:46:48:3D, tsunami                         
