
BSSID, First time seen, Last time seen, Channel, Speed, Privacy, Power, # beacons, # data, LAN IP, ESSID
00:40:96:46:4C:09, 2006-10-18 11:30:14, 2006-10-18 12:39:26,  1,  11, WEP ,  30,     2952,     8918, 130. 85.149.149, tsunami                         
00:40:96:45:FC:B0, 2006-10-18 11:30:14, 2006-10-18 12:39:26,  1,  11, WEP ,  33,     4726,     9281, 130. 85.169.169, tsunami                         
00:40:96:46:26:F1, 2006-10-18 11:30:14, 2006-10-18 12:39:26,  3,  11, WPA ,  59,     9575,    44954, 130. 85.168.168, tsunami                         
00:40:96:46:80:40, 2006-10-18 11:30:14, 2006-10-18 12:39:26,  6,  11, OPN ,  33,     3647,    29548, 130. 85.169.169, tsunami                         
00:40:96:46:58:9F, 2006-10-18 11:30:14, 2006-10-18 12:39:27,  6,  11, OPN ,  26,     2120,      141,   0.  0.  0.  0, tsunami                         
00:40:96:46:35:D5, 2006-10-18 11:30:14, 2006-10-18 12:39:26, 11,  11, OPN ,  64,     5799,      370, 130. 85.168.168, tsunami                         
00:40:96:46:48:3D, 2006-10-18 11:30:14, 2006-10-18 12:39:26, 11,  11, OPN ,  61,     6742,    10369, 130. 85. 38. 38, tsunami                         
00:40:96:41:9C:23, 2006-10-18 11:30:15, 2006-10-18 12:39:26, 11,  11, OPN ,  48,     8238,    48688, 130. 85.168.168, tsunami                         
00:40:96:47:80:99, 2006-10-18 11:30:15, 2006-10-18 12:39:26, 11,  11, OPN , 100,    10929,    48067, 130. 85.149.149, tsunami                         
00:40:96:46:11:E0, 2006-10-18 11:30:15, 2006-10-18 12:36:29,  6,  11, OPN ,   1,        8,        0,   0.  0.  0.  0, tsunami                         
00:40:96:46:35:13, 2006-10-18 11:30:15, 2006-10-18 12:39:18,  6,  11, OPN ,   1,       55,       24, 130. 85. 38. 38, tsunami                         
00:40:96:46:3B:32, 2006-10-18 11:30:15, 2006-10-18 12:39:21, 11,  11, OPN ,   5,      834,     1002, 130. 85.169.169, tsunami                         
00:40:96:46:54:CB, 2006-10-18 11:30:24, 2006-10-18 12:13:51, 11,  11, OPN ,   1,      109,      367, 130. 85.169.169, tsunami                         
00:40:96:46:55:07, 2006-10-18 11:30:31, 2006-10-18 12:33:09,  1,  11, OPN ,   1,      181,        6, 169.254.243.243, tsunami                         
00:40:96:46:54:72, 2006-10-18 11:30:47, 2006-10-18 12:39:08,  1,  11, OPN ,   1,       83,        0,   0.  0.  0.  0, tsunami                         
00:09:5B:6A:43:28, 2006-10-18 11:30:58, 2006-10-18 12:34:27, 11,  11, WEP?,   1,       73,        0,   0.  0.  0.  0, Meyerhoff                       
00:40:96:46:86:32, 2006-10-18 11:31:45, 2006-10-18 12:09:20,  1,  11, OPN ,   1,       19,        1, 130. 85.168.168, tsunami                         
00:0F:34:AE:FC:40, 2006-10-18 11:32:10, 2006-10-18 12:38:18,  1,  54, OPN ,   1,       22,       26, 130. 85.169.169, tsunami                         
00:15:E9:68:E2:5C, 2006-10-18 11:32:59, 2006-10-18 11:33:03, 10,  -1,     ,  26,        0,        0,   0.  0.  0.  0,                                 
00:40:96:46:66:AA, 2006-10-18 11:34:31, 2006-10-18 12:12:50,  6,  11, OPN ,   1,        3,        0,   0.  0.  0.  0, tsunami                         
00:09:5B:FF:98:A0, 2006-10-18 11:39:11, 2006-10-18 12:39:21, 11,  11, WEP?,   1,       79,        0,   0.  0.  0.  0, Cell Milieu                     
02:12:F0:00:14:23, 2006-10-18 11:44:42, 2006-10-18 11:45:00, 11,  54, OPN ,  24,       21,        0,   0.  0.  0.  0, hpsetup                         
00:07:85:92:2B:8C, 2006-10-18 11:44:51, 2006-10-18 12:39:06,  7,  -1,     ,  24,        0,        0,   0.  0.  0.  0,                                 
00:40:96:46:20:51, 2006-10-18 11:46:54, 2006-10-18 11:47:03,  1,  -1, OPN ,  14,        0,       11, 130. 85.149.149,                                 
00:40:96:40:C2:F0, 2006-10-18 11:47:46, 2006-10-18 12:34:58,  6,  11, OPN ,   1,        2,        9, 130. 85.149.149, tsunami                         
00:0F:8F:3D:DC:20, 2006-10-18 12:01:10, 2006-10-18 12:01:10, 13,  -1,     ,   1,        0,        0,   0.  0.  0.  0,                                 
00:40:96:46:0F:96, 2006-10-18 12:09:14, 2006-10-18 12:37:36,  6,  11, OPN ,  10,       15,        0,   0.  0.  0.  0, tsunami                         
00:0F:24:A9:51:30, 2006-10-18 12:22:12, 2006-10-18 12:28:44,  6,  -1,     ,  16,        0,        0,   0.  0.  0.  0,                                 
00:0F:34:AB:15:B0, 2006-10-18 12:25:26, 2006-10-18 12:26:56,  7,  -1, OPN ,  14,        0,        7, 130. 85.149.149,                                 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, ESSID
00:12:F0:12:1C:7D, 2006-10-18 11:30:14, 2006-10-18 12:39:25,  10,     1427, 00:40:96:46:4C:09, tsunami                         
00:13:02:B1:E2:A0, 2006-10-18 11:30:14, 2006-10-18 12:35:22,  38,     3411, 00:40:96:46:4C:09, tsunami                         
00:12:F0:A2:A4:7E, 2006-10-18 11:30:14, 2006-10-18 12:39:26,  43,     4657, 00:40:96:46:4C:09, tsunami                         
00:12:F0:12:2E:EB, 2006-10-18 11:30:14, 2006-10-18 12:39:25,  26,     1802, 00:40:96:46:4C:09, tsunami                         
00:90:96:FC:69:7E, 2006-10-18 11:30:14, 2006-10-18 12:29:29,  18,     7899, 00:40:96:45:FC:B0, tsunami                         
00:13:02:6E:35:41, 2006-10-18 11:30:14, 2006-10-18 11:46:47,  72,      379, 00:40:96:46:26:F1, tsunami                         
00:13:02:D4:F5:70, 2006-10-18 11:30:15, 2006-10-18 12:38:03,  33,    11440, 00:40:96:46:80:40, tsunami                         
00:04:23:64:53:C8, 2006-10-18 11:30:15, 2006-10-18 12:39:18,  35,      985, 00:40:96:46:80:40, tsunami                         
00:0D:54:99:20:FB, 2006-10-18 11:30:15, 2006-10-18 11:55:47,  26,     1167, 00:40:96:46:80:40, tsunami                         
00:90:4B:E6:FB:25, 2006-10-18 11:30:15, 2006-10-18 12:39:25,  20,    26839, 00:40:96:47:80:99, tsunami                         
00:13:02:7E:D9:6D, 2006-10-18 11:30:15, 2006-10-18 12:39:12,  28,     1103, 00:40:96:46:3B:32, tsunami                         
00:13:02:7F:B5:39, 2006-10-18 11:30:15, 2006-10-18 12:30:10,  10,       99, 00:40:96:46:3B:32, tsunami                         
00:0B:CD:5A:80:E6, 2006-10-18 11:30:16, 2006-10-18 12:36:38,  67,     3718, 00:40:96:41:9C:23, tsunami                         
00:13:02:06:EF:46, 2006-10-18 11:30:16, 2006-10-18 12:39:21,  56,     2088, 00:40:96:46:26:F1, tsunami                         
00:12:F0:11:5E:00, 2006-10-18 11:30:16, 2006-10-18 12:01:46,  59,     2002, 00:40:96:46:26:F1, tsunami                         
00:13:CE:7D:96:A2, 2006-10-18 11:30:16, 2006-10-18 12:39:25,  18,    31064, 00:40:96:41:9C:23, tsunami                         
00:90:4B:47:9F:31, 2006-10-18 11:30:17, 2006-10-18 12:20:59,   1,     6301, 00:40:96:47:80:99, tsunami                         
00:90:4B:F5:21:62, 2006-10-18 11:30:17, 2006-10-18 11:35:48,  30,      326, 00:40:96:46:3B:32, tsunami                         
00:14:A5:0A:14:9F, 2006-10-18 11:30:20, 2006-10-18 11:45:23,  48,      176, 00:40:96:46:26:F1, tsunami                         
00:13:02:C8:ED:7B, 2006-10-18 11:30:23, 2006-10-18 12:39:18,  33,     3954, 00:40:96:46:80:40, tsunami                         
00:0D:93:8A:25:01, 2006-10-18 11:30:24, 2006-10-18 12:37:12,  20,       81, 00:40:96:46:3B:32, tsunami                         
00:11:F5:1E:C7:57, 2006-10-18 11:30:24, 2006-10-18 12:13:33,  10,      368, 00:40:96:46:54:CB, tsunami                         
00:14:A4:46:9E:B7, 2006-10-18 11:30:24, 2006-10-18 11:45:21,  35,     4812, 00:40:96:47:80:99, tsunami                         
00:13:CE:1F:F2:4F, 2006-10-18 11:30:28, 2006-10-18 12:39:19, 100,     4373, 00:40:96:47:80:99, tsunami                         
00:0F:66:48:D9:06, 2006-10-18 11:30:28, 2006-10-18 12:39:23,  18,    12607, 00:40:96:46:26:F1, tsunami                         
00:13:02:6C:96:BB, 2006-10-18 11:30:32, 2006-10-18 12:07:34,  12,       27, 00:40:96:46:3B:32, tsunami                         
00:0F:20:95:68:D4, 2006-10-18 11:30:36, 2006-10-18 11:30:49,  72,        4, 00:40:96:46:26:F1, tsunami                         
00:0E:9B:D6:E5:77, 2006-10-18 11:30:40, 2006-10-18 12:26:36,  30,     4294, 00:40:96:46:48:3D, tsunami                         
00:16:CB:07:A9:79, 2006-10-18 11:30:41, 2006-10-18 11:36:56,  12,       18, 00:40:96:46:3B:32, tsunami                         
00:15:00:3F:AC:E7, 2006-10-18 11:30:55, 2006-10-18 12:37:44,  35,     1358, 00:40:96:46:4C:09, tsunami                         
00:16:6F:0A:AB:2F, 2006-10-18 11:31:01, 2006-10-18 12:37:24,  28,     1956, 00:40:96:46:26:F1, tsunami                         
00:14:A5:C9:29:C0, 2006-10-18 11:31:01, 2006-10-18 12:39:15,  26,     4906, 00:40:96:46:26:F1, tsunami                         
00:17:F2:3F:73:F5, 2006-10-18 11:31:05, 2006-10-18 12:07:10,  50,      173, 00:40:96:46:26:F1, tsunami                         
00:0D:93:E9:B6:B6, 2006-10-18 11:31:14, 2006-10-18 11:55:13,  14,        2, 00:40:96:46:3B:32, tsunami                         
