
BSSID, First time seen, Last time seen, Channel, Speed, Privacy, Power, # beacons, # data, LAN IP, ESSID
00:40:96:45:FC:B0, 2006-10-19 11:44:35, 2006-10-19 12:48:07,  1,  11, WEP ,   1,     5290,     3021, 130. 85.168.168, tsunami                         
00:40:96:46:4C:09, 2006-10-19 11:44:35, 2006-10-19 12:48:07,  1,  11, WPA ,   1,     2315,     7001, 130. 85.169.169, tsunami                         
00:40:96:46:26:F1, 2006-10-19 11:44:35, 2006-10-19 12:48:07,  3,  11, OPN ,  12,     9882,    11011, 130. 85. 38. 38, tsunami                         
00:40:96:46:80:40, 2006-10-19 11:44:36, 2006-10-19 12:48:06,  6,  11, OPN ,  28,     3742,     5946, 130. 85.169.169, tsunami                         
00:40:96:47:80:99, 2006-10-19 11:44:36, 2006-10-19 12:48:07, 11,  11, OPN ,  59,     9158,    40166, 130. 85. 38. 38, tsunami                         
00:40:96:46:35:D5, 2006-10-19 11:44:36, 2006-10-19 12:48:06, 11,  11, OPN ,  38,     7889,     3800, 130. 85. 38. 38, tsunami                         
00:40:96:46:48:3D, 2006-10-19 11:44:36, 2006-10-19 12:48:07, 11,  11, OPN ,  64,    10244,   107299, 130. 85.168.168, tsunami                         
00:40:96:41:9C:23, 2006-10-19 11:44:37, 2006-10-19 12:48:07, 11,  11, OPN ,  30,     8041,    11431, 130. 85. 38. 38, tsunami                         
00:40:96:46:55:07, 2006-10-19 11:44:39, 2006-10-19 12:47:21,  1,  11, OPN ,   1,      309,        6, 130. 85. 38. 38, tsunami                         
00:40:96:46:58:9F, 2006-10-19 11:44:41, 2006-10-19 12:48:04,  6,  11, OPN ,  45,     2673,        1, 130. 85. 38. 38, tsunami                         
00:40:96:46:35:13, 2006-10-19 11:44:41, 2006-10-19 12:48:04,  6,  11, OPN ,  22,     1095,     2017, 130. 85. 38. 38, tsunami                         
00:40:96:46:3B:32, 2006-10-19 11:44:42, 2006-10-19 12:48:06, 11,  11, OPN ,  10,      926,     2669, 130. 85.169.169, tsunami                         
00:0F:34:AB:17:00, 2006-10-19 11:44:42, 2006-10-19 12:24:54, 12,  -1, OPN ,   1,        0,       27, 130. 85.149.149,                                 
00:40:96:45:DE:EC, 2006-10-19 11:44:56, 2006-10-19 12:09:32,  1,  -1,     ,   1,        0,        0,   0.  0.  0.  0,                                 
00:07:85:92:2B:8C, 2006-10-19 11:45:37, 2006-10-19 12:40:23,  1,  -1,     ,  56,        0,        0,   0.  0.  0.  0,                                 
00:40:96:46:54:72, 2006-10-19 11:46:44, 2006-10-19 12:47:54,  1,  11, OPN ,   1,       77,        0,   0.  0.  0.  0, tsunami                         
00:40:96:46:11:E0, 2006-10-19 11:47:18, 2006-10-19 12:46:50,  6,  11, OPN ,  18,      115,        0,   0.  0.  0.  0, tsunami                         
00:40:96:46:86:32, 2006-10-19 11:48:40, 2006-10-19 12:44:29,  1,  11, OPN ,   1,       27,        0,   0.  0.  0.  0, tsunami                         
00:40:96:46:5F:D5, 2006-10-19 11:52:18, 2006-10-19 12:11:55, 12,  -1, OPN ,  24,        0,       49, 130. 85.149.149,                                 
00:40:96:46:54:CB, 2006-10-19 11:58:23, 2006-10-19 12:40:10, 11,  11, OPN ,   1,        2,        2, 130. 85.168.168, tsunami                         
00:40:96:46:66:AA, 2006-10-19 12:02:11, 2006-10-19 12:43:17,  6,  11, OPN ,  10,       13,        4, 130. 85.168.168, tsunami                         
00:40:96:40:C2:F0, 2006-10-19 12:21:51, 2006-10-19 12:31:46,  6,  11, OPN ,   1,        3,        0,   0.  0.  0.  0, tsunami                         
00:40:96:46:0F:96, 2006-10-19 12:22:25, 2006-10-19 12:40:57,  6,  11, OPN ,   1,       12,        0,   0.  0.  0.  0, tsunami                         
00:04:E2:C4:9E:94, 2006-10-19 12:41:30, 2006-10-19 12:43:17,  6,  54, WEP?,   1,       12,        0,   0.  0.  0.  0, Bookstore                       
00:0F:34:AE:FC:40, 2006-10-19 12:43:15, 2006-10-19 12:47:13,  1,  -1, OPN ,   1,        0,        5, 130. 85.149.149,                                 
00:0F:34:AB:14:10, 2006-10-19 12:43:34, 2006-10-19 12:44:06, 12,  -1,     ,   1,        0,        0,   0.  0.  0.  0,                                 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, ESSID
00:18:DE:22:2F:C0, 2006-10-19 11:44:35, 2006-10-19 11:49:09,   1,     5666, 00:40:96:45:FC:B0, tsunami                         
00:15:00:3F:AC:E7, 2006-10-19 11:44:35, 2006-10-19 12:41:21,  30,     2490, 00:40:96:46:4C:09, tsunami                         
00:09:5B:8C:B6:D1, 2006-10-19 11:44:35, 2006-10-19 12:47:50,   1,      609, 00:40:96:45:FC:B0, tsunami                         
00:13:02:C8:ED:7B, 2006-10-19 11:44:36, 2006-10-19 12:47:06,  30,     3760, 00:40:96:46:80:40, tsunami                         
00:0E:35:AF:E7:A6, 2006-10-19 11:44:37, 2006-10-19 12:26:18,  28,     4119, 00:40:96:47:80:99, tsunami                         
00:13:CE:2E:41:FD, 2006-10-19 11:44:37, 2006-10-19 12:48:05,  50,     3602, 00:40:96:41:9C:23, tsunami                         
00:0C:F1:14:41:93, 2006-10-19 11:44:38, 2006-10-19 12:46:20,  12,     3096, 00:40:96:46:35:D5, tsunami                         
00:13:CE:9F:9D:F5, 2006-10-19 11:44:39, 2006-10-19 12:41:48,  30,     9458, 00:40:96:46:4C:09, tsunami                         
00:12:F0:12:1C:7D, 2006-10-19 11:44:39, 2006-10-19 12:48:03,  24,     1734, 00:40:96:46:4C:09, tsunami                         
00:13:02:B7:E4:56, 2006-10-19 11:44:40, 2006-10-19 12:17:22,  43,     1522, 00:40:96:46:26:F1, tsunami                         
00:14:A5:78:BB:6C, 2006-10-19 11:44:41, 2006-10-19 12:48:05,  50,     3913, 00:40:96:41:9C:23, tsunami                         
00:13:CE:1E:EC:05, 2006-10-19 11:44:41, 2006-10-19 12:15:01,  40,     1590, 00:40:96:46:26:F1, tsunami                         
00:13:02:80:15:07, 2006-10-19 11:44:42, 2006-10-19 12:48:06,  38,    91362, 00:40:96:46:48:3D, tsunami                         
00:0E:9B:1F:5D:66, 2006-10-19 11:44:42, 2006-10-19 12:24:54,   1,       35, 00:0F:34:AB:17:00,                                 
00:13:CE:7D:96:A2, 2006-10-19 11:44:43, 2006-10-19 12:42:01,  30,     4380, 00:40:96:47:80:99, tsunami                         
00:14:A5:61:4F:01, 2006-10-19 11:44:45, 2006-10-19 12:23:29,  38,      810, 00:40:96:46:26:F1, tsunami                         
00:0B:7D:29:37:E6, 2006-10-19 11:44:48, 2006-10-19 12:40:02,  22,      814, 00:40:96:45:FC:B0, tsunami                         
00:90:96:BF:89:9A, 2006-10-19 11:44:49, 2006-10-19 12:47:31,  26,     1248, 00:40:96:46:35:13, tsunami                         
00:0B:7D:08:10:3D, 2006-10-19 11:44:49, 2006-10-19 12:31:04,  24,       61, 00:40:96:46:35:13, tsunami                         
00:18:DE:0C:9A:F4, 2006-10-19 11:44:49, 2006-10-19 12:48:05,   1,      114, 00:40:96:46:3B:32, tsunami                         
00:16:CF:3F:15:D9, 2006-10-19 11:44:49, 2006-10-19 12:35:27,  14,      253, 00:40:96:46:3B:32, tsunami                         
00:90:96:60:DD:FD, 2006-10-19 11:44:51, 2006-10-19 12:48:03,  64,      281, 00:40:96:46:35:D5, tsunami                         
00:18:DE:22:18:BA, 2006-10-19 11:44:53, 2006-10-19 12:08:52,  30,      384, 00:40:96:46:80:40, tsunami                         
00:15:00:38:08:B8, 2006-10-19 11:44:55, 2006-10-19 12:44:02,  24,      407, 00:40:96:46:48:3D, tsunami                         
00:13:CE:84:9D:E0, 2006-10-19 11:44:56, 2006-10-19 12:12:48,  18,       11, 00:40:96:45:DE:EC,                                 
00:0E:35:D8:4C:33, 2006-10-19 11:44:56, 2006-10-19 12:45:43,   1,      439, 00:40:96:46:4C:09, tsunami                         
00:16:CF:11:A6:EE, 2006-10-19 11:44:59, 2006-10-19 12:37:25,  14,      231, 00:40:96:46:3B:32, tsunami                         
00:02:2D:6F:93:67, 2006-10-19 11:45:01, 2006-10-19 11:49:07,  70,      114, 00:40:96:47:80:99, tsunami                         
00:11:24:A5:9B:FD, 2006-10-19 11:45:12, 2006-10-19 12:13:42,  24,      184, 00:40:96:46:4C:09, tsunami                         
00:0E:35:B5:D7:49, 2006-10-19 11:45:14, 2006-10-19 12:48:07,   1,     2252, 00:40:96:46:35:13, tsunami                         
