
BSSID, First time seen, Last time seen, Channel, Speed, Privacy, Power, # beacons, # data, LAN IP, ESSID
00:40:96:46:4C:09, 2006-10-20 11:55:33, 2006-10-20 12:48:46,  1,  11, OPN ,  33,     5051,     2066, 169.254.204.204, tsunami                         
00:40:96:46:55:07, 2006-10-20 11:55:33, 2006-10-20 12:48:46,  1,  11, OPN ,  14,     6200,      439, 130. 85. 38. 38, tsunami                         
00:40:96:46:86:32, 2006-10-20 11:55:33, 2006-10-20 12:48:46,  1,  11, OPN ,  33,     3465,     1608, 130. 85. 38. 38, tsunami                         
00:40:96:46:3B:32, 2006-10-20 11:55:34, 2006-10-20 12:48:46, 11,  11, OPN ,  53,    10150,    11230, 130. 85.169.169, tsunami                         
00:40:96:46:66:AA, 2006-10-20 11:55:34, 2006-10-20 12:48:46,  6,  11, OPN ,  35,     6360,     3720, 130. 85.169.169, tsunami                         
00:40:96:40:C2:E8, 2006-10-20 11:55:35, 2006-10-20 12:48:46, 11,  11, OPN ,  43,     5428,     2325, 130. 85. 38. 38, tsunami                         
00:40:96:46:48:3D, 2006-10-20 11:55:35, 2006-10-20 12:48:46, 11,  11, WPA ,  35,     5604,    17556, 130. 85. 38. 38, tsunami                         
00:40:96:46:5F:D5, 2006-10-20 11:55:35, 2006-10-20 12:48:46, 11,  11, OPN ,  26,     4498,      683, 130. 85.169.169, tsunami                         
00:40:96:46:35:D5, 2006-10-20 11:55:35, 2006-10-20 12:48:46, 11,  11, OPN ,  20,     2157,      901, 130. 85. 38. 38, tsunami                         
00:40:96:46:54:CB, 2006-10-20 11:55:35, 2006-10-20 12:48:46, 11,  11, OPN ,  30,     5740,    10330, 130. 85.149.149, tsunami                         
00:40:96:45:FC:B0, 2006-10-20 11:55:37, 2006-10-20 12:48:45,  1,  11, OPN ,  18,     1945,      564, 130. 85.169.169, tsunami                         
00:40:96:45:DE:EC, 2006-10-20 11:55:37, 2006-10-20 12:48:45,  1,  11, OPN ,  26,     1507,        1,   0.  0.  0.  0, tsunami                         
00:40:96:46:26:F1, 2006-10-20 11:55:37, 2006-10-20 12:48:45,  3,  11, OPN ,  16,     2979,    11753, 130. 85.169.169, tsunami                         
00:40:96:46:58:9F, 2006-10-20 11:55:38, 2006-10-20 12:48:46,  6,  11, OPN ,  24,     4446,      226, 130. 85. 38. 38, tsunami                         
00:40:96:45:FB:AA, 2006-10-20 11:55:38, 2006-10-20 12:48:36,  6,  11, OPN ,   1,      587,       17, 130. 85. 38. 38, tsunami                         
00:40:96:46:48:35, 2006-10-20 11:55:38, 2006-10-20 12:48:46,  6,  11, WPA ,  22,     2824,      670, 130. 85.169.169, tsunami                         
00:40:96:40:C2:F0, 2006-10-20 11:55:38, 2006-10-20 12:48:46,  6,  11, OPN ,  18,     4005,     1725, 130. 85.168.168, tsunami                         
00:40:96:47:80:99, 2006-10-20 11:55:38, 2006-10-20 12:48:46, 11,  11, OPN ,  10,     1303,     2240, 130. 85.169.169, tsunami                         
00:40:96:46:0F:96, 2006-10-20 11:55:38, 2006-10-20 12:48:37,  6,  11, OPN ,   1,      254,       28, 130. 85.149.149, tsunami                         
00:40:96:46:80:40, 2006-10-20 11:55:39, 2006-10-20 12:45:23,  6,  11, OPN ,   1,       20,        4, 130. 85.149.149, tsunami                         
00:09:5B:FF:98:A0, 2006-10-20 11:55:39, 2006-10-20 12:43:28, 11,  11, WEP?,   1,      493,        0,   0.  0.  0.  0, Cell Milieu                     
00:40:96:46:11:E0, 2006-10-20 11:55:39, 2006-10-20 12:48:44,  6,  11, OPN ,  30,      945,      228, 130. 85. 38. 38, tsunami                         
00:40:96:46:54:72, 2006-10-20 11:55:45, 2006-10-20 12:48:35,  1,  11, OPN ,  20,      577,       22, 130. 85. 38. 38, tsunami                         
00:40:96:46:35:13, 2006-10-20 11:55:47, 2006-10-20 12:42:45,  6,  11, WPA ,   1,        2,        7, 130. 85.149.149, tsunami                         
02:16:6F:00:02:04, 2006-10-20 11:55:49, 2006-10-20 12:01:18, 11,  54, OPN ,   5,       64,        0,   0.  0.  0.  0, AT&T Wireless                   
00:40:96:41:9C:23, 2006-10-20 11:56:04, 2006-10-20 12:48:38, 11,  11, OPN ,   1,       32,      140, 130. 85.169.169, tsunami                         
00:40:96:46:20:51, 2006-10-20 11:57:57, 2006-10-20 12:22:35,  1,  11, OPN ,   1,        9,        0,   0.  0.  0.  0, tsunami                         
02:13:CE:02:D2:6E, 2006-10-20 12:10:40, 2006-10-20 12:10:45, 11,  54, OPN ,  10,       20,        0,   0.  0.  0.  0, Free Public WiFi                
00:0F:34:AB:15:F0, 2006-10-20 12:32:01, 2006-10-20 12:32:01,  6,  -1,     ,   1,        0,        0,   0.  0.  0.  0,                                 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, ESSID
00:12:F0:12:2C:4E, 2006-10-20 11:55:33, 2006-10-20 12:48:43,  38,     1352, 00:40:96:46:4C:09, tsunami                         
00:12:F0:12:2E:EB, 2006-10-20 11:55:33, 2006-10-20 12:48:43,  30,     1088, 00:40:96:46:4C:09, tsunami                         
00:16:6F:54:3D:20, 2006-10-20 11:55:34, 2006-10-20 11:58:02,   1,      213, 00:40:96:46:66:AA, tsunami                         
00:15:00:3F:AC:E7, 2006-10-20 11:55:35, 2006-10-20 12:48:46,  28,     8846, 00:40:96:46:48:3D, tsunami                         
00:16:CF:55:9C:E8, 2006-10-20 11:55:35, 2006-10-20 12:20:34,  50,      637, 00:40:96:46:48:3D, tsunami                         
00:0E:35:59:1A:99, 2006-10-20 11:55:35, 2006-10-20 12:12:49,  33,     1568, 00:40:96:46:3B:32, tsunami                         
00:17:F2:42:AA:47, 2006-10-20 11:55:35, 2006-10-20 12:48:45,  30,     5410, 00:40:96:46:54:CB, tsunami                         
00:12:F0:12:1C:7D, 2006-10-20 11:55:37, 2006-10-20 12:37:42,  26,      782, 00:40:96:46:4C:09, tsunami                         
00:12:F0:9E:EC:BF, 2006-10-20 11:55:37, 2006-10-20 12:48:13,   1,      212, 00:40:96:46:86:32, tsunami                         
00:12:F0:12:2E:EA, 2006-10-20 11:55:37, 2006-10-20 12:46:45,   1,      196, 00:40:96:46:4C:09, tsunami                         
00:0D:93:EB:96:72, 2006-10-20 11:55:37, 2006-10-20 12:48:10,  10,      344, 00:40:96:46:4C:09, tsunami                         
00:11:50:7B:5D:43, 2006-10-20 11:55:39, 2006-10-20 12:10:06,  18,      190, 00:40:96:47:80:99, tsunami                         
00:12:F0:A2:A4:7E, 2006-10-20 11:55:39, 2006-10-20 12:48:38,  24,     1462, 00:40:96:47:80:99, tsunami                         
00:15:00:07:2E:50, 2006-10-20 11:55:39, 2006-10-20 12:48:45,  22,     6016, 00:40:96:47:80:99, tsunami                         
00:12:F0:0C:DE:B5, 2006-10-20 11:55:39, 2006-10-20 11:57:24,  12,       89, 00:40:96:47:80:99, tsunami                         
00:17:F2:44:6E:D5, 2006-10-20 11:55:43, 2006-10-20 12:21:05,  30,      981, 00:40:96:46:66:AA, tsunami                         
00:0A:95:F2:30:59, 2006-10-20 11:55:47, 2006-10-20 12:40:23,  16,       40, 00:40:96:46:66:AA, tsunami                         
00:14:A5:71:EA:B4, 2006-10-20 11:55:47, 2006-10-20 12:33:08,  35,      154, 00:40:96:46:26:F1, tsunami                         
00:13:02:B7:E4:56, 2006-10-20 11:55:47, 2006-10-20 12:16:30,  16,      456, 00:40:96:46:26:F1, tsunami                         
00:11:F5:0D:53:89, 2006-10-20 11:55:56, 2006-10-20 12:48:29,  14,      749, 00:40:96:47:80:99, tsunami                         
00:13:CE:1F:F2:4F, 2006-10-20 11:55:56, 2006-10-20 12:48:13, 100,     1150, 00:40:96:46:3B:32, tsunami                         
00:14:51:D8:C9:BC, 2006-10-20 11:55:59, 2006-10-20 12:48:00,  14,      621, 00:40:96:46:3B:32, tsunami                         
00:90:4B:F1:6B:BC, 2006-10-20 11:56:00, 2006-10-20 12:28:35,  74,     2245, 00:40:96:46:3B:32, tsunami                         
00:11:F5:A2:26:F1, 2006-10-20 11:56:01, 2006-10-20 12:37:29,  24,      511, 00:40:96:46:48:3D, tsunami                         
00:0E:35:39:1B:12, 2006-10-20 11:56:04, 2006-10-20 12:09:33,  16,      500, 00:40:96:46:48:3D, tsunami                         
00:13:CE:7D:96:A2, 2006-10-20 11:56:04, 2006-10-20 11:56:04,  26,        9, 00:40:96:41:9C:23, tsunami                         
00:16:CE:4C:FA:D7, 2006-10-20 11:56:04, 2006-10-20 12:41:02,  10,     2334, 00:40:96:46:26:F1, tsunami                         
00:12:F0:01:C4:4C, 2006-10-20 11:56:18, 2006-10-20 12:48:35,   1,      180, 00:40:96:46:4C:09, tsunami                         
00:13:CE:3C:FB:99, 2006-10-20 11:56:47, 2006-10-20 11:58:34,   1,       34, 00:40:96:46:86:32, tsunami                         
00:0E:9B:D6:E5:77, 2006-10-20 11:57:01, 2006-10-20 11:59:38,  26,      100, 00:40:96:46:26:F1, tsunami                         
00:14:A5:0A:14:9F, 2006-10-20 11:57:01, 2006-10-20 12:42:20,  30,      242, 00:40:96:46:26:F1, tsunami                         
00:90:4B:FD:CF:C9, 2006-10-20 11:57:08, 2006-10-20 12:44:36,   5,      300, 00:40:96:46:86:32, tsunami                         
00:17:F2:4A:52:7E, 2006-10-20 11:57:08, 2006-10-20 12:40:49,  50,       92, 00:40:96:46:5F:D5, tsunami                         
00:16:CB:BA:B2:BD, 2006-10-20 11:57:08, 2006-10-20 12:48:45,  35,      289, 00:40:96:46:3B:32, tsunami                         
