
BSSID, First time seen, Last time seen, Channel, Speed, Privacy, Power, # beacons, # data, LAN IP, ESSID
00:40:96:47:80:99, 2006-10-23 11:36:18, 2006-10-23 12:55:42, 11,  11, OPN ,  81,    36578,   235246, 130. 85.168.168, tsunami                         
00:40:96:46:3B:32, 2006-10-23 11:36:18, 2006-10-23 12:55:42, 11,  11, OPN ,   1,     6849,    12125, 130. 85.149.149, tsunami                         
00:40:96:46:48:3D, 2006-10-23 11:36:18, 2006-10-23 12:55:42, 11,  11, OPN ,  64,    26109,   266461, 130. 85.168.168, tsunami                         
00:40:96:41:9C:23, 2006-10-23 11:36:18, 2006-10-23 12:55:42, 11,  11, WPA ,  90,    31831,   158739, 130. 85. 38. 38, tsunami                         
00:40:96:46:35:D5, 2006-10-23 11:36:18, 2006-10-23 12:55:42, 11,  11, OPN ,  59,    20136,    27932, 130. 85. 38. 38, tsunami                         
00:40:96:46:54:CB, 2006-10-23 11:36:34, 2006-10-23 12:55:31, 11,  11, OPN ,   1,       62,      242, 130. 85.149.149, tsunami                         
32:D2:FB:DB:28:8E, 2006-10-23 11:48:06, 2006-10-23 11:48:07, 11,  11, OPN ,   1,        2,        0,   0.  0.  0.  0, Wireless Network                
00:09:5B:6A:43:28, 2006-10-23 11:52:19, 2006-10-23 12:55:42, 11,  11, WPA ,   1,     4290,       20,   0.  0.  0.  0, Meyerhoff                       
00:40:96:44:81:DE, 2006-10-23 11:53:24, 2006-10-23 11:53:27, 11,  -1,     ,   1,        0,        0,   0.  0.  0.  0,                                 
00:0F:34:AB:14:10, 2006-10-23 11:55:47, 2006-10-23 12:55:22, 11,  54, OPN ,   1,       38,        0,   0.  0.  0.  0, tsunami                         
00:40:96:46:80:40, 2006-10-23 11:56:25, 2006-10-23 12:30:41,  6,  11, OPN ,  28,       19,        1,   0.  0.  0.  0, tsunami                         
00:40:96:46:26:F1, 2006-10-23 11:56:40, 2006-10-23 12:30:32,  3,  11, OPN ,  26,       53,       10, 130. 85.168.168, tsunami                         
5E:70:1C:7F:03:EC, 2006-10-23 11:59:19, 2006-10-23 11:59:29, 11,  11, OPN ,  33,       37,        0,   0.  0.  0.  0, home                            
00:40:96:46:58:9F, 2006-10-23 11:59:57, 2006-10-23 12:35:11, 11,  -1, OPN ,  28,        0,       18, 130. 85.169.169,                                 
00:07:85:92:2B:8C, 2006-10-23 12:22:01, 2006-10-23 12:53:34, 11,  -1,     ,  77,        0,        0,   0.  0.  0.  0,                                 
00:0F:34:AB:17:F0, 2006-10-23 12:27:54, 2006-10-23 12:55:30, 11,  54, OPN ,   1,      102,        2, 130. 85.169.169, tsunami                         
00:40:96:46:5F:D5, 2006-10-23 12:34:16, 2006-10-23 12:37:16, 11,  -1,     ,  33,        0,        0,   0.  0.  0.  0, tsunami                         
00:09:5B:FF:98:A0, 2006-10-23 12:34:45, 2006-10-23 12:55:25, 11,  11, WEP?,   1,      104,        0,   0.  0.  0.  0, Cell Milieu                     
00:0F:34:AB:13:C0, 2006-10-23 12:45:37, 2006-10-23 12:46:15, 11,  -1,     ,   1,        0,        0,   0.  0.  0.  0,                                 
00:0F:8F:3D:DC:20, 2006-10-23 12:53:54, 2006-10-23 12:55:31, 11,  54, OPN ,   1,        2,        0,   0.  0.  0.  0, tsunami                         

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, ESSID
00:13:02:7F:B5:39, 2006-10-23 11:36:18, 2006-10-23 12:24:48,  18,     2517, 00:40:96:46:3B:32, tsunami                         
00:13:02:80:15:07, 2006-10-23 11:36:18, 2006-10-23 12:55:42,  56,   156378, 00:40:96:46:48:3D, tsunami                         
00:13:02:B1:E2:A0, 2006-10-23 11:36:18, 2006-10-23 12:21:03,  28,    26074, 00:40:96:46:48:3D, tsunami                         
00:12:F0:A2:A4:7E, 2006-10-23 11:36:18, 2006-10-23 12:45:36,  72,    31004, 00:40:96:47:80:99, tsunami                         
00:13:CE:2E:41:FD, 2006-10-23 11:36:19, 2006-10-23 12:55:42,  53,    23555, 00:40:96:41:9C:23, tsunami                         
00:16:CF:11:F6:C0, 2006-10-23 11:36:19, 2006-10-23 12:55:41,  12,     2934, 00:40:96:46:3B:32, tsunami                         
00:13:02:6E:35:41, 2006-10-23 11:36:19, 2006-10-23 11:45:57,  59,     2758, 00:40:96:41:9C:23, tsunami                         
00:12:F0:0C:70:67, 2006-10-23 11:36:19, 2006-10-23 12:55:42,   1,      681, 00:40:96:46:3B:32, tsunami                         
00:11:F5:0D:53:89, 2006-10-23 11:36:20, 2006-10-23 12:55:38,  77,    22944, 00:40:96:47:80:99, tsunami                         
00:13:CE:1F:F2:4F, 2006-10-23 11:36:22, 2006-10-23 12:55:42, 100,    67821, 00:40:96:47:80:99, tsunami                         
00:13:02:21:5F:4D, 2006-10-23 11:36:23, 2006-10-23 12:54:41,   1,      326, 00:40:96:46:3B:32, tsunami                         
00:04:23:56:94:8E, 2006-10-23 11:36:23, 2006-10-23 11:43:49,  74,      453, 00:40:96:47:80:99, tsunami                         
00:14:A5:20:4D:AE, 2006-10-23 11:36:26, 2006-10-23 12:08:10,  77,    13033, 00:40:96:47:80:99, tsunami                         
00:0E:9B:D6:E5:77, 2006-10-23 11:36:26, 2006-10-23 11:53:34,  64,     7393, 00:40:96:47:80:99, tsunami                         
00:13:02:A8:C7:B4, 2006-10-23 11:36:28, 2006-10-23 11:59:08,  35,     8401, 00:40:96:46:48:3D, tsunami                         
00:0F:F8:55:5B:C9, 2006-10-23 11:36:40, 2006-10-23 11:36:40,  81,        8, 00:40:96:47:80:99, tsunami                         
00:13:CE:7D:96:A2, 2006-10-23 11:36:52, 2006-10-23 12:55:19,  67,   157915, 00:40:96:41:9C:23, tsunami                         
00:13:02:C1:79:5C, 2006-10-23 11:37:23, 2006-10-23 12:14:11,   1,       21, 00:40:96:46:3B:32, tsunami                         
00:17:F2:42:AA:47, 2006-10-23 11:39:58, 2006-10-23 12:55:01,  12,       26, 00:40:96:46:3B:32, tsunami                         
00:14:A5:5C:BB:5F, 2006-10-23 11:40:10, 2006-10-23 12:54:27,   5,        4, 00:40:96:46:3B:32, tsunami                         
00:12:F0:91:84:2E, 2006-10-23 11:42:06, 2006-10-23 11:53:49,  14,     1176, 00:40:96:46:54:CB, tsunami                         
00:09:2D:9F:11:79, 2006-10-23 11:46:07, 2006-10-23 11:46:07,   1,        1, 00:40:96:46:3B:32, tsunami                         
00:0E:35:39:1B:12, 2006-10-23 11:47:33, 2006-10-23 12:22:58,  43,     2189, 00:40:96:46:48:3D, tsunami                         
00:0B:7D:18:B8:44, 2006-10-23 11:48:29, 2006-10-23 11:58:50,  20,     1152, 00:40:96:46:48:3D, tsunami                         
