
BSSID, First time seen, Last time seen, Channel, Speed, Privacy, Power, # beacons, # data, LAN IP, ESSID
00:40:96:47:80:99, 2006-10-24 11:49:45, 2006-10-24 12:57:18, 11,  11, OPN ,  50,    29344,   564031, 130. 85.168.168, tsunami                         
00:40:96:46:48:3D, 2006-10-24 11:49:45, 2006-10-24 12:57:18, 11,  11, OPN ,   1,    15803,    14160, 130. 85. 38. 38, tsunami                         
00:40:96:41:9C:23, 2006-10-24 11:49:45, 2006-10-24 12:57:18, 11,  11, OPN ,   1,    24038,   144809, 130. 85. 38. 38, tsunami                         
00:40:96:46:35:D5, 2006-10-24 11:49:45, 2006-10-24 12:57:16, 11,  11, OPN ,   1,    10104,     2270, 130. 85.169.169, tsunami                         
00:40:96:45:FC:B0, 2006-10-24 11:51:11, 2006-10-24 12:28:24, 11,  -1, OPN ,  12,        0,       13, 130. 85.169.169,                                 
00:0F:34:AE:FC:40, 2006-10-24 11:59:15, 2006-10-24 11:59:15, 11,  -1,     ,  30,        0,        0,   0.  0.  0.  0,                                 
00:40:96:46:54:CB, 2006-10-24 12:01:46, 2006-10-24 12:38:39, 11,  -1,     ,   1,        0,        0,   0.  0.  0.  0,                                 
00:40:96:46:26:F1, 2006-10-24 12:16:46, 2006-10-24 12:16:46, 11,  -1,     ,  61,        0,        0,   0.  0.  0.  0,                                 
00:40:96:46:3B:32, 2006-10-24 12:22:28, 2006-10-24 12:39:46, 11,  -1, OPN ,   5,        0,       11, 130. 85.149.149, tsunami                         
00:07:85:92:2B:8C, 2006-10-24 12:29:39, 2006-10-24 12:48:48, 11,  -1,     ,   1,        0,        0,   0.  0.  0.  0,                                 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, ESSID
00:13:CE:7D:96:A2, 2006-10-24 11:49:45, 2006-10-24 12:25:04,  28,    35642, 00:40:96:41:9C:23, tsunami                         
00:13:02:1B:50:60, 2006-10-24 11:49:45, 2006-10-24 12:57:01,  18,    24177, 00:40:96:47:80:99, tsunami                         
00:17:31:FA:15:92, 2006-10-24 11:49:46, 2006-10-24 12:51:05,  18,     4185, 00:40:96:41:9C:23, tsunami                         
00:02:2D:6F:93:67, 2006-10-24 11:49:46, 2006-10-24 11:59:17,  14,      213, 00:40:96:46:48:3D, tsunami                         
00:13:CE:2E:41:FD, 2006-10-24 11:49:46, 2006-10-24 12:47:57,   1,    10919, 00:40:96:41:9C:23, tsunami                         
00:0F:66:72:10:2E, 2006-10-24 11:49:57, 2006-10-24 12:49:33,   1,    32438, 00:40:96:41:9C:23, tsunami                         
00:11:F5:0D:53:89, 2006-10-24 11:49:57, 2006-10-24 12:50:49,  30,    21156, 00:40:96:41:9C:23, tsunami                         
00:14:A5:E6:02:FD, 2006-10-24 11:49:57, 2006-10-24 12:11:54,  35,     3547, 00:40:96:47:80:99, tsunami                         
00:0F:F8:55:5B:C9, 2006-10-24 11:50:03, 2006-10-24 11:50:03,  50,        8, 00:40:96:47:80:99, tsunami                         
00:13:CE:1F:F2:4F, 2006-10-24 11:50:20, 2006-10-24 12:57:18, 100,   102561, 00:40:96:47:80:99, tsunami                         
00:0E:9B:28:E8:7D, 2006-10-24 11:50:24, 2006-10-24 12:56:41,  10,      377, 00:40:96:46:48:3D, tsunami                         
00:13:02:80:15:07, 2006-10-24 11:50:40, 2006-10-24 12:54:12,   1,     1600, 00:40:96:46:48:3D, tsunami                         
00:0E:9B:91:F2:BA, 2006-10-24 11:50:46, 2006-10-24 12:57:18,  30,   394974, 00:40:96:47:80:99, tsunami                         
00:13:02:7F:96:11, 2006-10-24 11:50:50, 2006-10-24 12:43:49,  10,       38, 00:40:96:46:35:D5, tsunami                         
00:09:5B:8C:B6:D1, 2006-10-24 11:51:39, 2006-10-24 12:51:59,  10,     2151, 00:40:96:45:FC:B0,                                 
00:17:F2:45:5B:E4, 2006-10-24 11:52:18, 2006-10-24 12:32:32,  10,    18597, 00:40:96:47:80:99, tsunami                         
00:0B:7D:0B:64:D5, 2006-10-24 11:52:36, 2006-10-24 12:20:06,  10,       51, 00:40:96:46:35:D5, tsunami                         
00:12:F0:12:1C:7D, 2006-10-24 11:52:41, 2006-10-24 12:06:58,   1,       42, 00:40:96:46:48:3D, tsunami                         
00:17:F2:43:61:0E, 2006-10-24 11:55:30, 2006-10-24 12:56:20,   1,     5246, 00:40:96:46:48:3D, tsunami                         
00:14:A5:5C:2E:B4, 2006-10-24 11:58:08, 2006-10-24 12:04:02,  20,      240, 00:40:96:46:48:3D, tsunami                         
00:40:F4:F7:B4:9B, 2006-10-24 11:58:25, 2006-10-24 12:14:25,  18,     4273, 00:40:96:47:80:99, tsunami                         
