
BSSID, First time seen, Last time seen, Channel, Speed, Privacy, Power, # beacons, # data, LAN IP, ESSID
00:40:96:46:3B:32, 2006-10-25 11:41:16, 2006-10-25 12:46:30, 11,  11, OPN ,  26,    25524,    89239, 130. 85. 38. 38, tsunami                         
00:40:96:46:48:3D, 2006-10-25 11:41:16, 2006-10-25 12:46:30, 11,  11, OPN ,  30,    31551,   111344, 130. 85.168.168, tsunami                         
00:40:96:47:80:99, 2006-10-25 11:41:16, 2006-10-25 12:46:30, 11,  11, OPN ,   1,    12002,    12415, 130. 85.169.169, tsunami                         
00:40:96:46:35:D5, 2006-10-25 11:41:16, 2006-10-25 12:46:30, 11,  11, OPN ,   5,    17859,     3608, 130. 85. 38. 38, tsunami                         
00:40:96:40:C2:E8, 2006-10-25 11:41:17, 2006-10-25 12:46:10, 11,  11, OPN ,   1,      631,        0,   0.  0.  0.  0, tsunami                         
00:40:96:46:5F:D5, 2006-10-25 11:41:18, 2006-10-25 12:46:30, 11,  11, OPN ,   1,     1828,       93, 130. 85.149.149, tsunami                         
00:40:96:45:FC:B0, 2006-10-25 11:41:18, 2006-10-25 12:40:48, 11,  -1, OPN ,  26,        0,       10, 130. 85.168.168,                                 
00:40:96:46:54:CB, 2006-10-25 11:41:19, 2006-10-25 12:45:59, 11,  11, OPN ,   1,     2076,     4226, 130. 85.168.168, tsunami                         
00:40:96:41:9C:23, 2006-10-25 11:41:38, 2006-10-25 12:45:40, 11,  11, OPN ,   1,       44,      737, 130. 85.169.169, tsunami                         
00:40:96:46:11:E0, 2006-10-25 11:56:19, 2006-10-25 12:35:19, 11,  -1,     ,  30,        0,        0,   0.  0.  0.  0,                                 
00:07:85:92:2B:8C, 2006-10-25 12:04:12, 2006-10-25 12:09:50, 11,  -1,     ,   1,        0,        0,   0.  0.  0.  0,                                 
00:40:96:46:26:F1, 2006-10-25 12:07:19, 2006-10-25 12:36:06, 11,  -1,     ,   1,        0,        0,   0.  0.  0.  0,                                 
00:40:96:44:81:DE, 2006-10-25 12:23:23, 2006-10-25 12:23:27, 11,  -1, OPN ,   1,        0,        3, 130. 85.169.169,                                 
00:40:96:46:54:72, 2006-10-25 12:44:25, 2006-10-25 12:44:25, 11,  -1,     ,   1,        0,        0,   0.  0.  0.  0,                                 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, ESSID
00:0F:F8:55:5B:C9, 2006-10-25 11:41:16, 2006-10-25 11:41:16,  43,        8, 00:40:96:46:48:3D, tsunami                         
00:13:02:7F:B5:39, 2006-10-25 11:41:16, 2006-10-25 12:24:03,  14,    14052, 00:40:96:46:3B:32, tsunami                         
00:12:F0:0C:70:67, 2006-10-25 11:41:16, 2006-10-25 12:46:03,  28,    12094, 00:40:96:46:3B:32, tsunami                         
00:13:02:B1:E2:A0, 2006-10-25 11:41:16, 2006-10-25 12:39:45,  56,    46130, 00:40:96:46:48:3D, tsunami                         
00:16:6F:95:C7:ED, 2006-10-25 11:41:16, 2006-10-25 11:56:32,  12,     2596, 00:40:96:46:3B:32, tsunami                         
00:13:02:21:5F:4D, 2006-10-25 11:41:18, 2006-10-25 12:46:26,  26,     1922, 00:40:96:46:3B:32, tsunami                         
00:13:CE:1F:F2:4F, 2006-10-25 11:41:18, 2006-10-25 12:46:26, 100,    11383, 00:40:96:45:FC:B0,                                 
00:11:09:0B:BC:06, 2006-10-25 11:41:18, 2006-10-25 12:46:29,  22,     1207, 00:40:96:46:3B:32, tsunami                         
00:13:02:CC:57:8B, 2006-10-25 11:41:19, 2006-10-25 11:52:43,   5,     1810, 00:40:96:46:54:CB, tsunami                         
00:11:F5:FD:E6:0F, 2006-10-25 11:41:26, 2006-10-25 12:25:22,  26,     2460, 00:40:96:46:3B:32, tsunami                         
00:13:02:A8:C7:B4, 2006-10-25 11:41:37, 2006-10-25 12:40:20,  45,    22243, 00:40:96:46:48:3D, tsunami                         
00:12:F0:0C:DE:B5, 2006-10-25 11:41:41, 2006-10-25 11:41:42,   1,        4, 00:40:96:46:5F:D5, tsunami                         
00:13:02:03:DD:49, 2006-10-25 11:41:44, 2006-10-25 12:33:54,   1,     1168, 00:40:96:47:80:99, tsunami                         
00:14:A5:50:07:92, 2006-10-25 11:41:46, 2006-10-25 12:45:40,   1,     2358, 00:40:96:41:9C:23, tsunami                         
00:11:F5:1E:C7:57, 2006-10-25 11:41:55, 2006-10-25 12:38:54,   5,      480, 00:40:96:46:54:CB, tsunami                         
00:13:02:1B:C2:22, 2006-10-25 11:41:59, 2006-10-25 12:04:27,   1,     2369, 00:40:96:46:3B:32, tsunami                         
00:15:00:3F:AC:E7, 2006-10-25 11:43:04, 2006-10-25 11:43:08,  43,       53, 00:40:96:46:48:3D, tsunami                         
00:0E:35:39:1B:12, 2006-10-25 11:43:30, 2006-10-25 12:41:07,   1,       29, 00:40:96:47:80:99, tsunami                         
00:17:F2:4D:CB:A1, 2006-10-25 11:43:31, 2006-10-25 12:31:34,  10,     1295, 00:40:96:47:80:99, tsunami                         
00:14:A5:C9:29:C0, 2006-10-25 11:43:35, 2006-10-25 11:43:49,  14,      137, 00:40:96:46:48:3D, tsunami                         
00:12:F0:14:58:37, 2006-10-25 11:45:09, 2006-10-25 11:51:16,  16,      384, 00:40:96:46:3B:32, tsunami                         
00:18:F3:2D:BA:16, 2006-10-25 11:46:18, 2006-10-25 11:50:21,   1,      821, 00:40:96:46:48:3D, tsunami                         
00:17:F2:49:30:D6, 2006-10-25 11:46:44, 2006-10-25 11:57:33,  20,      429, 00:40:96:46:3B:32, tsunami                         
00:14:A5:C4:21:76, 2006-10-25 11:47:05, 2006-10-25 11:47:33,  12,       84, 00:40:96:46:48:3D, tsunami                         
00:12:F0:12:1C:7D, 2006-10-25 11:48:07, 2006-10-25 12:17:05,   1,    11113, 00:40:96:46:54:CB, tsunami                         
00:15:00:38:03:93, 2006-10-25 11:49:07, 2006-10-25 12:12:20,  12,      900, 00:40:96:46:54:CB, tsunami                         
00:11:24:A9:69:9A, 2006-10-25 11:49:21, 2006-10-25 12:18:41,   1,      296, 00:40:96:47:80:99, tsunami                         
00:13:02:C1:79:5C, 2006-10-25 11:50:07, 2006-10-25 11:59:23,   1,        4, 00:40:96:46:54:CB, tsunami                         
00:12:F0:75:44:B8, 2006-10-25 11:51:03, 2006-10-25 12:46:30,  26,    20112, 00:40:96:46:3B:32, tsunami                         
00:14:A5:B2:E4:87, 2006-10-25 11:55:38, 2006-10-25 12:17:26,  18,     2089, 00:40:96:47:80:99, tsunami                         
00:14:A5:0C:80:5F, 2006-10-25 11:56:19, 2006-10-25 12:42:19,  38,      720, 00:40:96:46:11:E0,                                 
