
BSSID, First time seen, Last time seen, Channel, Speed, Privacy, Power, # beacons, # data, LAN IP, ESSID
00:40:96:41:9C:23, 2006-10-26 11:53:35, 2006-10-26 12:48:27, 11,  11, WPA ,  72,    22039,   117682, 130. 85. 38. 38, tsunami                         
00:40:96:46:3B:32, 2006-10-26 11:53:35, 2006-10-26 12:48:27, 11,  11, WEP ,   1,     5062,     3896, 130. 85.149.149, tsunami                         
00:40:96:47:80:99, 2006-10-26 11:53:35, 2006-10-26 12:48:27, 11,  11, WPA , 100,    24211,   164239, 130. 85. 38. 38, tsunami                         
00:40:96:46:48:3D, 2006-10-26 11:53:35, 2006-10-26 12:48:27, 11,  11, WPA ,  61,    19654,   488844, 130. 85.168.168, tsunami                         
00:40:96:46:54:CB, 2006-10-26 11:53:35, 2006-10-26 12:48:27, 11,  11, OPN ,  24,       26,     1657, 130. 85.168.168, tsunami                         
00:40:96:46:35:D5, 2006-10-26 11:53:35, 2006-10-26 12:48:26, 11,  11, OPN ,  28,    15471,     7730, 130. 85.149.149, tsunami                         
00:40:96:40:C2:E8, 2006-10-26 11:55:09, 2006-10-26 12:07:17, 11,  -1, OPN ,  10,        0,        2,   0.  0.  0.  0,                                 
00:09:5B:6A:43:28, 2006-10-26 11:55:14, 2006-10-26 12:43:05, 11,  11, WPA ,   1,      533,       66,   0.  0.  0.  0, Meyerhoff                       
00:40:96:46:26:F1, 2006-10-26 11:57:04, 2006-10-26 12:45:25, 11,  -1, OPN ,  64,        0,       15, 130. 85.149.149,                                 
00:0F:34:AB:14:10, 2006-10-26 11:57:24, 2006-10-26 12:06:30, 11,  54, OPN ,   1,       29,        0,   0.  0.  0.  0, tsunami                         
00:0F:66:72:10:2E, 2006-10-26 11:57:53, 2006-10-26 12:08:18, 11,  -1, WPA , 100,        0,     1381, 130. 85. 38. 38,                                 
00:0F:34:AB:17:F0, 2006-10-26 11:58:32, 2006-10-26 12:15:46, 11,  54, OPN ,   1,       13,        0,   0.  0.  0.  0, tsunami                         
00:0F:8F:3D:DC:20, 2006-10-26 11:59:07, 2006-10-26 12:47:19, 11,  54, OPN ,   1,        1,        0,   0.  0.  0.  0, tsunami                         
00:07:85:92:2B:8C, 2006-10-26 12:08:01, 2006-10-26 12:16:18, 11,  -1,     ,  26,        0,        0,   0.  0.  0.  0,                                 
00:40:96:45:FC:B0, 2006-10-26 12:23:31, 2006-10-26 12:23:31, 11,  -1,     ,  70,        0,        0,   0.  0.  0.  0,                                 
00:0F:34:AB:13:C0, 2006-10-26 12:48:19, 2006-10-26 12:48:24, 11,  -1, OPN ,  12,        0,        8, 130. 85.168.168,                                 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, ESSID
00:13:02:7F:B5:39, 2006-10-26 11:53:35, 2006-10-26 12:22:59,  22,     4626, 00:40:96:46:3B:32, tsunami                         
00:13:02:80:15:07, 2006-10-26 11:53:35, 2006-10-26 12:48:27,  35,   419427, 00:40:96:46:48:3D, tsunami                         
00:16:6F:58:DF:A4, 2006-10-26 11:53:35, 2006-10-26 12:39:23,  50,    48316, 00:40:96:46:48:3D, tsunami                         
00:13:CE:84:9D:E0, 2006-10-26 11:53:35, 2006-10-26 11:58:21,  14,      561, 00:40:96:46:54:CB, tsunami                         
00:12:F0:12:2C:4E, 2006-10-26 11:53:35, 2006-10-26 12:05:18,  28,      130, 00:40:96:46:54:CB, tsunami                         
00:13:02:5D:B6:5C, 2006-10-26 11:53:35, 2006-10-26 12:48:26,  64,     7717, 00:40:96:47:80:99, tsunami                         
00:13:CE:7D:96:A2, 2006-10-26 11:53:36, 2006-10-26 12:41:51,  64,    85388, 00:40:96:41:9C:23, tsunami                         
00:14:A4:79:F0:8F, 2006-10-26 11:53:36, 2006-10-26 12:36:45, 100,    22586, 00:40:96:47:80:99, tsunami                         
00:13:CE:2E:41:FD, 2006-10-26 11:53:36, 2006-10-26 12:48:27,  35,    16213, 00:40:96:41:9C:23, tsunami                         
00:17:F2:43:61:0E, 2006-10-26 11:53:37, 2006-10-26 12:39:04,  56,     8745, 00:40:96:46:48:3D, tsunami                         
00:0F:66:72:10:2E, 2006-10-26 11:53:37, 2006-10-26 12:41:21,  67,    21843, 00:40:96:41:9C:23, tsunami                         
00:13:02:82:70:65, 2006-10-26 11:53:42, 2006-10-26 12:48:27,  38,     5324, 00:40:96:46:3B:32, tsunami                         
00:13:CE:1F:F2:4F, 2006-10-26 11:53:49, 2006-10-26 12:48:22, 100,    30069, 00:40:96:47:80:99, tsunami                         
00:0F:F8:55:5B:C9, 2006-10-26 11:53:50, 2006-10-26 11:53:50,  97,        7, 00:40:96:47:80:99, tsunami                         
00:14:A5:4D:DA:13, 2006-10-26 11:54:04, 2006-10-26 12:48:21,  24,     4389, 00:40:96:46:3B:32, tsunami                         
00:0B:7D:0E:FE:74, 2006-10-26 11:54:23, 2006-10-26 12:47:19,  18,      149, 00:40:96:46:3B:32, tsunami                         
00:18:DE:0C:9A:F4, 2006-10-26 11:54:31, 2006-10-26 12:45:32,   1,      112, 00:40:96:46:3B:32, tsunami                         
00:12:F0:01:C0:4A, 2006-10-26 11:54:33, 2006-10-26 12:25:34,  22,      877, 00:40:96:46:3B:32, tsunami                         
00:15:00:4A:E3:FA, 2006-10-26 11:55:09, 2006-10-26 12:07:17,  16,      433, 00:40:96:40:C2:E8,                                 
