
BSSID, First time seen, Last time seen, Channel, Speed, Privacy, Power, # beacons, # data, LAN IP, ESSID
00:40:96:46:26:F1, 2006-10-27 11:53:53, 2006-10-27 12:21:34,  3,  11, OPN ,  72,        1,       14, 130. 85.168.168, tsunami                         
00:40:96:46:48:3D, 2006-10-27 11:53:53, 2006-10-27 12:46:32, 11,  11, OPN ,  28,    19314,    47718, 130. 85. 38. 38, tsunami                         
00:40:96:41:9C:23, 2006-10-27 11:53:53, 2006-10-27 12:46:32, 11,  11, OPN ,  33,    18686,    59494, 130. 85.149.149, tsunami                         
00:40:96:47:80:99, 2006-10-27 11:53:53, 2006-10-27 12:46:33, 11,  11, OPN ,  50,    22274,   131782, 130. 85. 38. 38, tsunami                         
00:40:96:46:35:D5, 2006-10-27 11:53:54, 2006-10-27 12:46:32, 11,  11, OPN ,   1,    13115,     2704, 130. 85. 38. 38, tsunami                         
00:40:96:46:3B:32, 2006-10-27 11:59:25, 2006-10-27 12:21:37, 11,  -1, OPN ,   1,        0,     1365, 130. 85.168.168, tsunami                         
00:40:96:46:66:AA, 2006-10-27 12:14:51, 2006-10-27 12:14:51, 11,  -1,     ,   1,        0,        0,   0.  0.  0.  0,                                 
00:40:96:46:80:40, 2006-10-27 12:21:47, 2006-10-27 12:21:49, 11,  -1, OPN ,  81,        0,       12, 130. 85.168.168,                                 
62:FC:38:C5:82:8E, 2006-10-27 12:37:57, 2006-10-27 12:38:47, 11,  11, OPN ,   1,       95,        0,   0.  0.  0.  0, guestwifi                       
00:40:96:46:54:CB, 2006-10-27 12:43:28, 2006-10-27 12:45:35, 11,  -1, OPN ,   1,        0,        1, 130. 85.168.168,                                 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, ESSID
00:11:F5:0D:53:89, 2006-10-27 11:53:53, 2006-10-27 12:18:57,  10,     5478, 00:40:96:46:48:3D, tsunami                         
00:13:02:03:DD:49, 2006-10-27 11:53:53, 2006-10-27 12:46:32,  33,    69047, 00:40:96:41:9C:23, tsunami                         
00:13:CE:1F:F2:4F, 2006-10-27 11:53:53, 2006-10-27 12:46:25, 100,    39058, 00:40:96:47:80:99, tsunami                         
00:11:F5:A6:84:28, 2006-10-27 11:53:53, 2006-10-27 11:55:57,  35,      703, 00:40:96:47:80:99, tsunami                         
00:14:A5:50:07:92, 2006-10-27 11:53:57, 2006-10-27 12:40:19,  22,     1722, 00:40:96:47:80:99, tsunami                         
00:13:CE:2E:41:FD, 2006-10-27 11:54:09, 2006-10-27 12:46:31,   1,     1951, 00:40:96:41:9C:23, tsunami                         
00:14:A4:46:9E:B7, 2006-10-27 11:54:14, 2006-10-27 11:58:04,  20,      231, 00:40:96:47:80:99, tsunami                         
00:0F:F8:55:5B:C9, 2006-10-27 11:54:15, 2006-10-27 11:54:15,  67,        1, 00:40:96:47:80:99, tsunami                         
00:90:4B:E6:FB:25, 2006-10-27 11:54:25, 2006-10-27 12:46:32,  14,    29839, 00:40:96:46:26:F1, tsunami                         
00:02:2D:44:7B:61, 2006-10-27 11:55:19, 2006-10-27 12:18:45,   1,     9096, 00:40:96:46:48:3D, tsunami                         
00:13:CE:21:D4:EA, 2006-10-27 11:58:05, 2006-10-27 12:21:55,  35,      479, 00:40:96:47:80:99, tsunami                         
00:14:A5:61:4F:01, 2006-10-27 11:59:24, 2006-10-27 12:00:35,  22,       68, 00:40:96:46:35:D5, tsunami                         
