# $Creator: Network Stumbler Version 0.4.0
# $Format: wi-scan summary with extensions
# Latitude	Longitude	( SSID )	Type	( BSSID )	Time (GMT)	[ SNR Sig Noise ]	# ( Name )	Flags	Channelbits	BcnIntvl	DataRate	LastChannel
# $DateGMT: 2006-10-29
N 0.0000000	E 0.0000000	( tsunami )	BSS	( 00:0f:34:00:20:30 )	19:45:26 (GMT)	[ 23 72 49 ]	# (  )	0001	00000002	100	540	1
N 0.0000000	E 0.0000000	( tsunami )	BSS	( 00:0f:34:00:20:90 )	19:45:26 (GMT)	[ 15 64 49 ]	# (  )	0001	00000002	100	540	1
N 0.0000000	E 0.0000000	( Q )	BSS	( 00:11:50:fe:0d:e3 )	19:45:26 (GMT)	[ 20 69 49 ]	# (  )	0001	00000002	100	110	1
N 0.0000000	E 0.0000000	( NETGEAR )	BSS	( 00:14:6c:47:97:44 )	19:45:26 (GMT)	[ 26 75 49 ]	# (  )	0011	00000040	100	0	6
N 0.0000000	E 0.0000000	( alnet )	BSS	( 00:13:46:0a:5c:7c )	19:45:26 (GMT)	[ 22 71 49 ]	# (  )	0011	00000040	100	0	6
N 0.0000000	E 0.0000000	( tsunami )	BSS	( 00:0f:34:00:1c:c0 )	19:45:26 (GMT)	[ 20 69 49 ]	# (  )	0001	00000040	100	540	6
N 0.0000000	E 0.0000000	( HoneyDip158 )	BSS	( 00:16:b6:e2:e2:ee )	19:45:26 (GMT)	[ 19 68 49 ]	# (  )	0011	00000040	100	540	6
N 0.0000000	E 0.0000000	( CSPK161 )	BSS	( 00:15:e9:65:31:86 )	19:45:26 (GMT)	[ 20 69 49 ]	# (  )	0011	00000040	100	0	6
N 0.0000000	E 0.0000000	( linksys )	BSS	( 00:13:10:8e:34:8c )	19:45:26 (GMT)	[ 28 77 49 ]	# (  )	0011	00000040	100	540	6
N 0.0000000	E 0.0000000	( dd-wrt )	BSS	( 00:13:10:85:a4:cb )	19:45:26 (GMT)	[ 17 66 49 ]	# (  )	0011	00000040	100	540	6
N 0.0000000	E 0.0000000	( Harbor 428 )	BSS	( 00:01:24:f4:03:cd )	19:45:27 (GMT)	[ 12 61 49 ]	# (  )	0001	00000010	100	110	4
N 0.0000000	E 0.0000000	( tsunami )	BSS	( 00:0f:34:00:20:a0 )	19:45:27 (GMT)	[ 32 81 49 ]	# (  )	0001	00000040	100	540	6
N 0.0000000	E 0.0000000	( tsunami )	BSS	( 00:0f:34:00:1d:f0 )	19:45:37 (GMT)	[ 18 67 49 ]	# (  )	0001	00000040	100	540	6
N 0.0000000	E 0.0000000	( linksys )	BSS	( 00:16:b6:cd:cd:e7 )	19:45:37 (GMT)	[ 6 55 49 ]	# (  )	0001	00000040	100	540	6
N 0.0000000	E 0.0000000	( PezLan )	BSS	( 00:18:39:3f:ca:d8 )	19:45:37 (GMT)	[ 6 55 49 ]	# (  )	0011	00000002	100	540	1
N 0.0000000	E 0.0000000	( tsunami )	BSS	( 00:0f:34:00:18:60 )	19:45:37 (GMT)	[ 30 79 49 ]	# (  )	0001	00000040	100	540	6
N 0.0000000	E 0.0000000	( tsunami )	BSS	( 00:0f:34:00:20:70 )	19:45:52 (GMT)	[ 11 60 49 ]	# (  )	0001	00000002	100	540	1
N 0.0000000	E 0.0000000	( tsunami )	BSS	( 00:0f:34:00:1c:a0 )	19:46:07 (GMT)	[ 11 60 49 ]	# (  )	0001	00000002	100	540	1
N 0.0000000	E 0.0000000	( default )	BSS	( 00:15:e9:62:02:80 )	19:46:12 (GMT)	[ 8 57 49 ]	# (  )	0001	00000040	100	0	6
N 0.0000000	E 0.0000000	( tsunami )	BSS	( 00:0f:34:00:21:20 )	19:46:23 (GMT)	[ 13 62 49 ]	# (  )	0001	00000002	100	540	1
N 0.0000000	E 0.0000000	( default )	BSS	( 00:40:f4:f6:18:5d )	19:46:28 (GMT)	[ 7 56 49 ]	# (  )	0011	00000040	100	110	6
